"(PDH-CSV 4.0) (China Standard Time)(-480)","\\dcnds0005337\network interface(vmxnet3 ethernet adapter)\current bandwidth","\\dcnds0005337\network interface(vmxnet3 ethernet adapter)\bytes total/sec","\\dcnds0005337\network interface(vmxnet3 ethernet adapter)\bytes received/sec","\\dcnds0005337\network interface(vmxnet3 ethernet adapter)\bytes sent/sec","\\dcnds0005337\network interface(vmxnet3 ethernet adapter)\output queue length","\\dcnds0005337\memory\available bytes","\\dcnds0005337\memory\committed bytes","\\dcnds0005337\memory\commit limit","\\dcnds0005337\memory\% committed bytes in use","\\dcnds0005337\memory\page faults/sec","\\dcnds0005337\memory\pages/sec","\\dcnds0005337\memory\page reads/sec","\\dcnds0005337\memory\page writes/sec","\\dcnds0005337\memory\pool paged bytes","\\dcnds0005337\memory\pool nonpaged bytes","\\dcnds0005337\processor(_total)\% privileged time","\\dcnds0005337\processor(_total)\% processor time","\\dcnds0005337\processor(_total)\% user time","\\dcnds0005337\ica session(_server total)\latency - last recorded","\\dcnds0005337\ica session(console (yuaaron))\latency - last recorded","\\dcnds0005337\ica session(_server total)\latency - session average","\\dcnds0005337\ica session(console (yuaaron))\latency - session average","\\dcnds0005337\ica session(_server total)\latency - session deviation","\\dcnds0005337\ica session(console (yuaaron))\latency - session deviation","\\dcnds0005337\ica session(_server total)\output session bandwidth","\\dcnds0005337\ica session(console (yuaaron))\output session bandwidth","\\dcnds0005337\ica session(_server total)\input session bandwidth","\\dcnds0005337\ica session(console (yuaaron))\input session bandwidth","\\dcnds0005337\ica session(_server total)\output session compression","\\dcnds0005337\ica session(console (yuaaron))\output session compression","\\dcnds0005337\ica session(_server total)\input session compression","\\dcnds0005337\ica session(console (yuaaron))\input session compression","\\dcnds0005337\ica session(_server total)\output session line speed","\\dcnds0005337\ica session(console (yuaaron))\output session line speed","\\dcnds0005337\ica session(_server total)\input session line speed","\\dcnds0005337\ica session(console (yuaaron))\input session line speed"
"03/30/2016 18:15:58.859","10000000000"," "," "," ","0","4183121920","9283207168","26082009088","35.592377629647729"," "," "," "," ","983449600","139415552"," "," "," ","0","2","0","2","0","0","208","208","128","128","37","37","0","0","0","199942992","0","0"
"03/30/2016 18:15:59.972","10000000000","4361.0120135369261","1875.0375097345623","2485.9745038023643","0","4182786048","9283837952","26082009088","35.5947960936467","2383.5527136204091","0","0","0","983449600","139440128","4.9052057956827859","29.92569566044294","16.117094490011915","0","2","0","2","0","0","9336","9336","80","80","25","25","28","28","0","199942992","0","0"
"03/30/2016 18:16:00.994","10000000000","3567.115518106657","2401.2252802171215","1165.8902378895352","0","4182691840","9284497408","26082009088","35.597324487827429","5555.5843550440941","0","0","0","983449600","139427840","11.447064686877692","22.923069728252223","22.894139157512818","0","2","0","2","0","0","5992","5992","40","40","30","30","33","25","0","199942992","0","0"
"03/30/2016 18:16:02.113","10000000000","3672.530847022495","2348.4515160618876","1324.0793309606072","0","4182691840","9283493888","26082009088","35.593476931465439","2127.4734115029214","0","0","0","983457792","139395072","6.278486641496853","33.727128181636225","16.742619119125653","0","2","0","2","0","0","3032","3032","32","32","30","30","28","25","0","199942992","0","0"
"03/30/2016 18:16:03.123","10000000000","3024.5880694207808","2793.9075390852513","230.68053033552926","0","4182822912","9283092480","26082009088","35.591937908920649","2762.2260928589126","0","0","0","983449600","139427840","9.2664594926645947","13.513044735130453","15.444099154440991","0","2","0","2","0","0","1528","1528","16","16","30","30","33","25","0","199942992","0","0"
"03/30/2016 18:16:04.305","10000000000","4332.2380776740429","3158.0247498451868","1174.2133278288559","0","4182818816","9282486272","26082009088","35.589613670791771","2816.2508417451454","28.763150681686675","5.0758501202976483","0","983457792","139362304","9.8981645697911187","35.331963841628969","24.415478809425434","0","2","0","2","0","0","792","792","16","16","30","30","28","25","0","199942992","0","0"
"03/30/2016 18:16:05.415","10000000000","4887.8849276942547","3835.719502786977","1052.1654249072778","0","4182810624","9282727936","26082009088","35.59054022518098","1973.7109982635666","0","0","0","983465984","139366400","7.0265352700982842","30.437305330187392","14.755728571366799","0","2","0","2","0","0","416","416","8","8","31","31","33","25","0","199942992","0","0"
"03/30/2016 18:16:06.425","10000000000","3329.6647286031175","2603.93048951121","725.73423909190751","0","4182974464","9283072000","26082009088","35.591859387362241","2266.3106047494903","0","0","0","983449600","139407360","5.4054396540543967","22.779504227795044","17.760709077607089","0","2","0","2","0","0","240","240","16","16","31","31","28","25","0","199942992","0","0"
"03/30/2016 18:16:07.436","10000000000","2835.6064340473749","2660.5445788585416","175.06185518883339","0","4182925312","9284136960","26082009088","35.595942508399453","3054.1864905260877","0","0","0","983449600","139362304","6.1715292367894765","13.598590684947332","16.971705401171061","0","2","0","2","0","0","136","136","8","8","33","33","33","25","0","199942992","0","0"
"03/30/2016 18:16:08.543","10000000000","2528.3611847508473","1979.1494661625961","549.2117185882513","0","4183277568","9280479232","26082009088","35.581918558067791","2558.1703734242228","0","0","0","983449600","139374592","3.5227010270969292","28.841343507925632","16.908986608114258","0","2","0","2","0","0","104","104","16","16","31","31","28","25","0","199942992","0","0"
